,model_accuracy,f1,explanations0,explanations0_f1,explanations0_fidelity,explanations0_complexity,explanations1,explanations1_f1,explanations1_fidelity,explanations1_complexity
0,0.9699570536613464,0.9667854597291519,Mitoses_VLOW & ~Clump_Thickness_VHIGH & ~Marginal_Adhesion_HIGH & ~Bare_Nuclei_NORMAL & ~Bare_Nuclei_VHIGH,0.9036393713813069,0.9356223175965666,5,Cell_Size_Uniformity_VHIGH | Normal_Nucleoli_VHIGH | ~Bare_Nuclei_VLOW,0.9303687765226227,0.9484978540772532,3
1,[0.9656652212142944],[0.962570281124498],['~Cell_Size_Uniformity_VHIGH & ~Bare_Nuclei_VHIGH & ~Normal_Nucleoli_LOW'],[0.9081630536251426],[0.927038626609442],[3],['~Bare_Nuclei_VLOW & ~Bland_Chromatin_VLOW'],[0.919336116485083],[0.9356223175965666],[2]
2,[0.9699570536613464],[0.9665867699178496],['Clump_Thickness_VLOW | (Single_Epi_Cell_Size_VLOW & ~Normal_Nucleoli_LOW)'],[0.9118004502619887],[0.9141630901287554],[3],['Bland_Chromatin_VHIGH | Normal_Nucleoli_VHIGH | ~Mitoses_VLOW | (Normal_Nucleoli_NORMAL & ~Clump_Thickness_NORMAL)'],[0.8203139176193068],[0.8669527896995708],[5]
